,statement,label
3703,"Health reform will ""give every American the same opportunity"" to buy health insurance the way members of Congress do.",Fake
3704,"Donald Trump rooted for the housing crisis, because he knew he could make money off of it.",Not Fake
3705,The Free Flow of Information Act of 2009 would guarantee Barack Obama will never be held accountable for producing forged birth documents.,Fake
3706,Wisconsin ranks 48th out of all 50 states in venture capital investment.,Fake
3707,"The CDC is spending money on things like jazzercise, urban gardening and massage therapy that could be redirected to Ebola.",Fake
3708,"When I was fighting against cap and trade, the speaker was sitting down with Nancy Pelosi on a sofa encouraging it.",Not Fake
3709,Savannah is home to the fastest-growing port in the nation.,Not Fake
3710,If you are a federally licensed gun dealer and your license is revoked because youve engaged in misconduct ... your entire inventory under prevailing law is deemed your personal collection. You then can sell it free from any background checks.,Not Fake
3711,"In the past year, Floridians, not government, created almost 135,000 new private sector jobs. We netted more than 120,000 total jobs in the first 11 months of 2011; the third most of any state in the nation.",Not Fake
3712,"Says that when Republicans held Congress and the presidency, they doubled the size of the (U.S.) Department of Education.",Not Fake
3713,"My friend, we have increased the size of government by some 40 percent just in the last few years.",Not Fake
3714,"In New York, when she ran for reelection, she carried 58 of our 62 counties. George Bush had won 40 counties in New York just two years earlier.",Not Fake
3715,Wisconsin is 38th in the country in terms of proficiency standards in student testing.,Not Fake
3716,Says that Sarah Palin and Craig Huey would ban a womans right to choose in every case,Not Fake
3717,"Six years after unionization, 20,000 fewer children in Illinois were being served by the Child Care and Development Fund program.",Fake
3718,A government report shows that alternatives to the Keystone XL pipeline are worse for the environment.,Not Fake
3719,"John McCain and George W. Bush want to spend ""a trillion dollars in Iraq over the next 10 years.""",Not Fake
3720,"Says Justice Elena Kagan recused herself in many cases where she had little role as solicitor general, simply because of the appearance of a conflict of interest.",Not Fake
3721,Democrats rang up a $1.42 trillion budget deficit in 2009 the single largest in American history.,Not Fake
3722,Common Core expects English teachers to spend at least half of their reading instructional time at every grade level on informational texts.,Fake
3723,"If they made no changes whatsoever, the [state employees pension] plan still had enough money to go forward for approximately the next 16 years.",Fake
3724,Says its an old wives story that Margaret Thatcher told George H.W. Bush not to go wobbly.,Fake
3725,"Oil companies ""haven't touched"" 68 million acres where they already have rights to drill.",Fake
3726,Says President Barack Obama failed to stand up for the bipartisan debt solutions of the Simpson-Bowles Commission.,Fake
3727,"Phoenix, Arizona, Im told, is now the No. 2 kidnapping capital in the world, right behind Mexico City.",Fake
3728,Congresswoman Kathy Castor voted to spend $2.6 million to teach prostitutes in China to drink responsibly.,Fake
3729,On the main GOP presidential debate:Not one candidate on the debate stage has military experience,Not Fake
3730,"As governor, Mike Huckabee supported higher income taxes, sales taxes, gas taxes, grocery taxes, tobacco taxes, beer taxes, Internet taxes, nursing home bed taxes.",Not Fake
3731,"As a percentage of gross domestic product, we are reducing nondefense discretionary spending to its lowest level since the '60s, lower than it was under Reagan, lower than it was under Clinton, lower than it was under Bush, or both Bushes.",Fake
3732,Says Donald Trump supports the Wall Street bailout.,Not Fake
3733,Georgia is one of three states that effectively have no regulations whatsoever on lobbyists giving to legislators.,Not Fake
3734,"Live cats have holes drilled into their skulls, posts put into their heads and coils put into their eyes, and some have had their ears cut off or are intentionally deafened or starved at UW-Madison labs that do research to improve hearing in humans.",Not Fake
3735,"Says Ron Johnson is benefiting from several super PACs, I am not.",Fake
3736,"One international flight a day in a wide-bodied jet ... one flight daily generates $150 million a year and approximately 2,300 jobs.",Not Fake
3737,I didnt raise taxes once.,Fake
3738,"Mitt Romney did not endorse Ted Cruz, even though he said he is voting for Cruz and urged others to do likewise.",Not Fake
3739,"Says the health care law rations care, like systems in Canada and Great Britain.",Fake
3740,Oregon is spending $10 million advertising Obamacare with ads that dont even mention the program and how to enroll in it and that dont mention the word insurance.,Fake
3741,"Says the Treasury Department says 41 percent of all business income reported on individual returns would be hit by the [millionaires] surtax that would harm small businessmen and women, the very people we are counting on to create new jobs.",Fake
3742,"I led the fight to require the Coast Guard to buy their engines from us, not foreign companies.",Fake
3743,"On Sandra Day O'Connor: ""I think one reason she was a good judge is she had no judicial experience"" before she joined the Supreme Court.",Fake
3744,Says PolitiFact says Amendment 4 will force counties and cities across Florida to raise taxes and fees.,Fake
3745,"In Massachusetts, half of the primary care doctors are not accepting new patients.",Not Fake
3746,"He took on special interests and won, passing the toughest ethics law yet.",Not Fake
3747,Says U.S. Rep. Steve Southerland voted himself health care for life.,Fake
3748,A proposed San Antonio ordinance will allow men into womens restrooms in the city.,Fake
3749,John Cornyn backed his pal David Dewhurst for the U.S. Senate over Ted Cruz.,Fake
3750,"Since 1999, 440 people have been killed in attacks on church property in the United States.",Fake
3751,Says Scott Walker runs a state government that bans employees from talking about climate change.,Fake
3752,"As a state senator, he (Obama) even refused to support a measure to stop sex businesses from opening near schools or places of worship!",Not Fake
3753,We could cut unemployment in half simply by reclaiming the jobs taken by illegal workers.,Fake
3754,"We are in the sixth year of recovery, and median income is below what it was at the start of the recovery.",Not Fake
3755,The unemployment rate for folks whove never gone to college is almost double what it is for those who have.,Not Fake
3756,"Under the federal Controlled Substance Act, marijuana is listed in the same Schedule I as heroin, even though marijuana is not a killer drug like heroin.",Not Fake
3757,"As a result of Obamacare, we are becoming something of a part-time employment country.",Fake
3758,"Oregon Rep. Tina Kotek, D-Portland, has never held a job nor run a business",Fake
3759,Its estimated we leave somewhere north of $350 billion a year - thats billion - a year on the table uncollected because IRS doesnt have the resources.,Not Fake
3760,"The Rev. Wright compared ""the United States Marine Corps with Roman legionnaires who were responsible for the death of our Savior.""",Not Fake
3761,Says Nevada state Sen. Michael Roberson forced Common Core for Nevada schools.,Not Fake
3762,"In 2011, our state-run lottery funded New Jersey classrooms by over $930 million.",Not Fake
3763,"Social Security was advocated in the 1930s as a way of getting people to quit working, because they thought we were confined to a permanent scarcity of jobs in this country.",Fake
3764,I didn't say it doesn't really matter whether Gore or Bush is president.,Fake
3765,"There isnt a single (Texas) legislator under the age of 30, even though millennials make up 25 percent of the electorate in Texas.",Not Fake
3766,"Langevin votes the party line about 98 percent of the time.""",Not Fake
3767,"Says that in 2008, President Barack Obama said normalization with Cuba would first require liberation of all political prisoners and some basic steps toward freedom, including freedom of the press, political parties, labor unions.",Not Fake
3768,The United States currently has the highest corporate tax rate in the world.,Not Fake
3769,I finished the controversyabout wherePresident Barack Obama was born.,Fake
3770,"There is no $30 million pot of money for redistricting issues, including defending redistricting lawsuits. Your tax dollars are not being spent on anything like that.",Fake
3771,"Georgia has had 12 school shootings in the two years since the mass killing at Sandy Hook Elementary School, more than any other state.",Fake
3772,"If you are going to kill the families of terrorists, realize that theres something called the Geneva Convention were going to have to pull out of.",Not Fake
3773,David Perdue opposes laws that provide equal pay protections for women.,Fake
3774,"A quarter of our workers make $18,000 per year.",Not Fake
3775,"Twenty-three million Americans suffer from addiction, but only 1 in 10 get treatment.",Not Fake
3776,"Reconciliation was used ""for tax cuts for the rich twice under Bush.""",Not Fake
3777,"We had an agreement that the president could have signed that would have kept 10,000 troops in Iraq.",Fake
3778,We dont show people playing these games. We dont show them winning playing the video lottery games.,Fake
3779,Weve got the highest corporate tax rate in the world.,Not Fake
3780,"The states tax burden has, according to census figures released today, cost our state another 190,000 residents in 2009.",Fake
3781,Nonpartisan government analysts say Obamacare will cost our economy up to 2.5 million jobs.,Fake
3782,"A gas tax holiday ""would at best provide 30 cents a day for three months for a grand total of $28.""",Not Fake
3783,Says recent polls show Americans agree with Republicans that the federal debt ceiling should not be raised and the debt and deficit should be dealt with mostly by cutting spending.,Not Fake
3784,New business startups are at the lowest levels in 30 years.,Not Fake
3785,"Florida is one of the few states that has actually had a narrowing of the achievement gap based on income, or based on race or ethnicity.",Not Fake
3786,Says Ken Cuccinelli supported a law that could allow people to carry missile launchers into airports.,Fake
3787,Says that U.S. Sen. Marco Rubio says troops are leaving Iraq too fast.,Not Fake
3788,Medicare has spent $172 million on penis pumps in the last five years at $360 a pop.,Not Fake
3789,"Ted Strickland stands in lockstep with Hillary Clinton and the abortion lobby in their desire to force Americans to pay for abortion on demand, up until the moment of birth, with their taxpayer dollars.",Fake
3790,Says the top 20 percent of income earners pay nearly 70 percent of all federal taxes.,Not Fake
3791,Most of the U.S. Senate is comprised of multimillionaires.,Not Fake
3792,Far more children died last year drowning in their bathtubs than were killed accidentally by guns.,Fake
3793,"In the last two years, super PACs raised more than $180 million -- with roughly half of it coming from fewer than 200 super-rich people and roughly 20 percent from corporations.",Not Fake
3794,House Republicans required the use of Styrofoam cups in House cafeterias that are part of Koch Industries.,Fake
3795,"ISIS is right now crucifying Christians in Iraq, literally nailing Christians to trees.",Fake
3796,"Research found that over the course of the existence of the Brady Bill ban, the use of assault weapons in crimes decreased by two thirds.",Not Fake
3797,I have a record on the environment of creating green energy ... taking trash and turning it into cash.,Not Fake
3798,"Tyler Perrys plan to turn a majority of the former Fort McPherson into a film and television studio is expected to add over 8,000 new jobs to Atlanta.",Not Fake
3799,The Dallas Cowboys cant put a sticker on their helmets for the 5 police officers who were killed.,Not Fake
3800,Richmond teachers have not gotten a raise for almost 10 years.,Fake
3801,"When the NECAP proficiency test is re-given to the kids the second and third time, harder questions are taken out.",Not Fake
3802,The fastest-rising expense in the U.S. Defense Department is health care.,Not Fake
3803,"Wisconsin state and local government workers pay $500, $600 or in some cases, $1,000 per year in union dues.",Not Fake
3804,"When you get a commercial pilots license, you learn to communicate in English no matter where you are in the world.",Not Fake
3805,"25,000 businesses have been created since (Scott) Walker took office.",Fake
3806,Texas is growing twice as fast as the rest of the country.,Not Fake
3807,On the importance of an independent voting record,Fake
3808,A 50-50 public-private split for paying for a new Milwaukee Bucks arena would be much better -- in terms of the portion of the public financing -- than most of the other arena projects done around the country.,Not Fake
3809,Right-to-work states have higher rates of income growth.,Not Fake
3810,"Americas gun-related homicide rate would be about the same as Belgiums if you left out California, Illinois, D.C. and New Jersey, places with some of the strictest gun control laws in the U.S.",Fake
3811,There are more pain clinics in Broward County than there are McDonalds in Broward County.,Not Fake
3812,"Says military commanders have said that if Donald Trump were elected, they would not follow his orders.",Fake
3813,"In her nearly decade and (a) half in Congress, Tammy Baldwin has sponsored 105 bills. Only three have been enacted into law.",Not Fake
3814,Former President George W. Bush and former Vice President Dick Cheney are unable to visit Europe due to outstanding warrants.,Fake
3815,Michelle Nunn ranks agriculture issues as the 18th most important items facing Georgia.,Fake
3816,"The market is making this decision. The market has driven down the cost of coal, so you have companies going bankrupt.",Not Fake
3817,"Alison Alter has exploited a campaign finance loophole to obtain over $64,000 in public dollars to fund her campaign.",Not Fake
3818,"In the 100 days since its passage, the economic stimulus has ""saved or created nearly 150,000 jobs.""",Fake
3819,Says Texas retained the right to have a navy when it joined the United States.,Fake
3820,Says Thom Tillis has cut $500 million from public education.,Not Fake
3821,"Says Ted Cruz said: While there may have been an age difference, Josh Duggars transgressions are far less an affront to God than what gays do to each other.",Fake
3822,"The WIC program is an incredibly cost effective program, serving nearly 10 million Americans each year and costing less than $100 per person. In my district, more than 18 percent of residents suffer from food insecurity and depend on WIC to make ends meet.",Fake
3823,Puerto Ricos $70 billion debt is unsustainable and it is unpayable. And the reason why it is unsustainable has everything to do with the greed of Wall Street vulture funds.,Not Fake
3824,"During the last election, Democrats won over a million votes more than Republicans, but because of the way districts are designed, the Republicans got 33 more members of the House of Representatives than the Democrats did.",Not Fake
3825,Says Barack Obama counted on Sandy Adams to approve stimulus spending.,Fake
3826,"Says Rep. Betty Sutton supports allowing welfare fund withdrawals from strip clubs, casinos and liquor stores.",Fake
3827,"Says the United States has the highest incarceration rate in the world with 2.3 million inmates, and the majority of Americans are imprisoned because they sold small amounts of drugs.",Not Fake
3828,The stimulus bill contains $20 million for the removal of small to medium-sized fish passage barriers and $25 million to rehabilitate off-roading trails for ATVs.,Not Fake
3829,Says he helped save the Olympic games.,Not Fake
3830,"Thanks to restrictive and anticompetitive ballot laws, candidates in November 2014 ran unopposed in nearly half of Wisconsins state representative races but in Michigan and Minnesota nearly all races had challengers.",Not Fake
3831,"This week liberal Bill White faced an ethics complaint about more than $83,000 he failed to report to the state Ethics Commission.",Not Fake
3832,"Documents released by Edward Snowden reveal that American, Britishand Israeli intelligence agencies worked together to create the Islamic State.",Fake
3833,Senator McCain voted against the Bush tax cuts. Now he's for them.,Not Fake
3834,"With his proposal to cut income and property taxes, Scott Walker is increasing the state deficit at a time when borrowing is already at record levels.",Fake
3835,ISIS is making millions of dollars a week selling Libyan oil.,Fake
3836,The federal government is spending 25 percent of our entire economy versus 100 years ago we spent only 2 percent.,Not Fake
3837,"In Congress, (Cresent Hardy) voted to defund DACA.",Not Fake
3838,"After today, @GovJayNixon will have been overridden more times than all previous governors in #MO history #moleg",Not Fake
3839,"Patrick Murphy voted for Obamacare in 2010, yet he reversed himself and voted to delay the employer mandate and the individual mandate.",Fake
3840,"Rick Scott's former health care company, Columbia/HCA, committed ""fraud.""",Not Fake
3841,"President Obama himself attempted to filibuster Justice Alito, who now sits on the Supreme Court.",Not Fake
3842,Polling shows that nearly 74 percent of National Rifle Association members support requiring background checks for all gun sales.,Not Fake
3843,"We have almost 68,000 Georgia students who are required by law to attend a chronically failing school.",Not Fake
3844,Tens of billions of dollars (from taxpayer-funded bailouts) ... flowed straight through AIG into the coffers of foreign corporations and foreign banks.,Not Fake
3845,"You and I know that in the history of mankind and womankind, government federal, state, local, or otherwise has never created one job.",Fake
3846,Rhode Island has the highest dropout rate in New England at twenty-three percent.,Not Fake
3847,Daniel Webster said he's out. Now he says he's in.,Not Fake
3848,"Under my platform, I will make no changes to the current (Medicare) system for current retirees and anyone approaching retirement.",Fake
3849,The Greenest County in America.,Fake
3850,"Says El Paso was named Americas Safest Large City a year after San Antonio, Houston and Dallas had the nations highest crime rates.",Fake
3851,"The Pentagons survey about the Dont Ask, Dont Tell policy found that 92 percent of service members agree that they could serve ... in a unit in combat without compromising mission readiness.",Not Fake
3852,"Since Volvo spurned Georgia for South Carolina in early May, some 3,455 jobs promising more than $800 million in investments have come to the Peach State.",Not Fake
3853,"Ben Carson is running for president to eliminate dependency on government. But he doesnt mention that he grew up in public schools, got public housing and food stamps, got free glasses from a government program, was helped by Affirmative Action, and got Pell Grants for college.",Not Fake
3854,We are taking Virginias investment in public education to the highest level in the commonwealths history.,Fake
3855,FDR was called a socialist and a communist.,Not Fake
3856,"Over the last four years, the deficit has gone up, but 90 percent of that is as a consequence of President George W. Bushs policies and the recession.",Fake
3857,Weve had 27 (Ebola) outbreaks around the globe and theyve never spread outside of the confines of the countries that were initially affected.,Not Fake
3858,On his support for Donald Trump.,Not Fake
3859,"Says Donald Trump said at the Republican convention, I alone can fix it.",Not Fake
3860,"We are looking at 150,000 barrels (of oil) per day less next year, and 200,000 barrels per day less being able to be developed from the gulf the year after because of the moratorium on new drilling enacted by the Obama administration.",Fake
3861,Barack Obamas recess appointment of Richard Cordray is precisely what then-Sen. Obama claimed would be the wrong thing to do.,Not Fake
3862,This is the only state in the country that bypassed the General Assembly to authorize [in-state tuition for undocumented immigrants].,Not Fake
3863,"Of the 18 stadiums built from 2004 to 2013, 47 percent of the total cost came from public sources.",Not Fake
3864,Pres. Obamas finance team is recommending a . . . 1% tax on all transactions at any financial institution.,Fake
3865,Says a new national poll shows the majority of the American people believe we should have a gold standard for U.S. currency.,Fake
3866,Says Barack Obama is trying to slash funding for the Armed Pilots Program designed to prevent terror attacks.,Not Fake
3867,Even our nuclear arsenal doesnt work. It came out recently they have equipment that is 30 years old. They dont know if it worked.,Fake
3868,"If you log into the governments Cash for Clunkers Web site (cars.gov) from your home computer, the government can seize all of your personal and private information, and track your computer activity.",Fake
3869,"The oil and natural gas industry provides or supports 141,600 jobs in Georgia.",Not Fake
3870,"In 2009, the state Legislature passed more than $5 billion in tax increases.",Fake
3871,"Says under our current sentencing laws, about 75 percent of all convicted felons in Oregon do not go to prison.",Not Fake
3872,Right now were the highest taxed country in the world.,Fake
3873,Sotomayor has had her rulings thrown out by the court a troubling four times.,Not Fake
3874,"Todd Staples recently tried to woo his supporters and right-wing base by suggesting the Agriculture Commission cut programs intended to feed the elderly and disabled, many of whom are veterans.",Fake
3875,"In the first round of repayments from financial institutions that received TARP money, the government has actually turned a profit.",Not Fake
3876,"Says he has seen Border Patrol signs near the Mexico border in English, Spanish and Chinese.",Not Fake
3877,George W. Bush was the least popular president in modern history.,Fake
3878,"Says Harry Reid, when asked about the Republican field, said the Republican he likes the best is Donald Trump, and he said, because I can work with him. Hell cut deals.",Fake
3879,"Current projections indicate that Medicare will go bankrupt by 2017, while Social Security will bottom out by 2037.",Not Fake
3880,The Green Bay Packers are a socialist organization.,Fake
3881,The first installment of health care reform ... will raise the deficit by $250 billion.,Not Fake
3882,"Economic inequality in Multnomah County has a face -- and a name. It has 90,000 faces and names -- the number of county residents who are still unemployed, or underemployed, in the wake of the 2008 Wall Street crash.",Fake
3883,On tax breaks for businesses,Not Fake
3884,Greg Abbott was charged with overseeing the state cancer research fund. But he let his wealthiest donors take tens of millions of taxpayer dollars without proper oversight. They showered Abbott with gifts and free vacations.,Not Fake
3885,My debt to GDP was the lowest or one of the lowest of modern presidents. My taxes to GDP was the lowest and my spending to GDP was too.,Not Fake
3886,"Says over the last 48 years, every governor at the midterm of his first term or her first term has lost seats in the Legislature, with the exception of Jim McGreevey in 2003.",Not Fake
3887,"As speaker, Gingrich even supported taxpayer funding of some abortions.",Not Fake
3888,It has been 80 years since a Supreme Court vacancy was nominated and confirmed in an election year. There is a long tradition that you dont do this in an election year.,Not Fake
3889,Obama Announces Plans For A Third Term Presidential Run,Fake
3890,A hidden provision in the health care law taxes sporting goods as medical devices.,Fake
3891,Says the 2011-13 state budget eliminates the structural deficit for the first time in decades.,Not Fake
3892,"Barack Obama ""cut taxes for working families.""",Not Fake
3893,The Georgia Regional Transportation Authority concluded that light rail in Cobb County would more than double commute time and would therefore be unsuccessful in alleviating traffic congestion.,Fake
3894,"Every time somebody new gets the Ebola virus, it mutates.",Not Fake
3895,I have not said that I was a single-payer supporter.,Fake
3896,George LeMieux voted against the majority of Republicans and joined with Democrats to create a Task Force For Responsible Fiscal Action that looks strikingly similar to the Super Committee now being set up in Washington to justify massive tax hikes.,Not Fake
3897,"The Democratic health care bill will ""collect higher taxes for 10 years and provide health care for only six years.""",Not Fake
3898,"A new manufacturing plant is slated to create about 3,000 jobs in central and northeast Georgia and create about a $3 billion infusion into the economy.",Not Fake
3899,"Since Gov. Nathan Deal office in 2011, the states rainy day fund has grown by 643 percent.",Not Fake
3900,Says President Barack Obama built this $16 trillion debt.,Fake
3901,The IRS is going to be in charge of our health care.,Fake
3902,Im also the only lieutenant governor to not take a security detail.,Not Fake
3903,"You've got a building in the Cayman Islands that supposedly houses 12,000 corporations. That's either the biggest building or the biggest tax scam on record.",Not Fake
3904,Says Obama is only president in history who has deliberately removed the words endowed by their Creator when referring to the Declaration of Independence.,Fake
3905,"Says Michael Bennet votes for President Obamas agenda 98 percent of the time. Hardly independent, hardly bipartisan.",Not Fake
3906,"The price tag amounted to nearly $4,200 for every man, woman and child in the state.",Fake
3907,John McCain wants to privatize Social Security.,Fake
3908,"If you're over 65 years old in America today, you have no choice but to be in Medicare. Even if you want out of Medicare, you have to forfeit your Social Security to get out of it.",Not Fake
3909,"Although we have twice the population of Greece, the state of Florida employs three times fewer government employees.",Not Fake
3910,Says Donald Trumps presidential victory was an electoral landslide.,Fake
3911,Wisconsins rainy day fund is 165 times bigger than when we first took office.,Not Fake
3912,"In FY 2014 Planned Parenthood performed 327,653 abortions while receiving $528 million from taxpayers, in violation of the Hyde amendment.",Fake
3913,Says the University of Wisconsin football program is spending almost all of its Bowl Championship Series payout on a Rose Bowl junket for politically connected officials,Fake
3914,Says opponent Ted Cruz has not led businesses.,Not Fake
3915,Says Donald Trump thinks stop-and-frisk is fine.,Not Fake
3916,"Mitt Romney has ""a pro-choice record.""",Not Fake
3917,This is a test of the Share the Facts widget.,Not Fake
3918,Wisconsin bill grants drug companies and medical device manufacturers immunity from injuries and deaths caused by their products.,Not Fake
3919,"Says as Co-Chair of the Joint Ways Means Committee, I secured the key piece of funding for the Portland-Milwaukie Light Rail project bridge.",Not Fake
3920,"We are the poster child for compliance, and whenever we discover possible infractions we resolve and report it to the NCAA no matter how minor the violations.",Not Fake
3921,"To give the proposed economic stimulus plan some perspective, ""if you started the day Jesus Christ was born and spent $1 million every day since then, you still wouldnt have spent $1 trillion.""",Not Fake
3922,Says he has been able to attract independents and Democrats to win elections in Pennsylvania.,Not Fake
3923,"Says lawyer appointed by Eric Holder to investigate government leaks helped and donated to Obamas campaign, vetting vice presidential prospects.",Not Fake
3924,"The federal government owns about half of the West, yet it continues to acquire more land.",Not Fake
3925,"Families are paying $900, on average, ""in higher premiums because of uncompensated care.""",Not Fake
3926,Congressman Phil Roe hands out $1.3M government check from a federal program that he voted against.,Not Fake
3927,"After the Texas cutoff of aid to womens health care services including Planned Parenthood clinics, over 150,000 women lost the only health care they had. Our Medicaid birth rate shot up. It cost taxpayers over $130 million in one year alone in extra Medicaid birth costs.",Fake
3928,"There are legitimate and widespread anomalies, and widespread questions about the conduct of (the Wisconsin Supreme Court) election, most visibly in Waukesha County, but also in counties around the state.",Fake
3929,"As the Democrats finally maxed out their government spending credit card Monday, Kurt Schrader continued to stand with his party leaders in failing to offer any viable long-term solution.",Fake
3930,Could I just point out that ... I seem to get the first question all the time?,Not Fake
3931,Says Marilinda Garcia supports $150 billion in new taxes.,Fake
3932,"Virginia is headed towards another surplus this year, unlike most states.",Not Fake
3933,"Kasichs budget increases state spending from $50.5 billion to $55.6 billion. This is the second largest, two-year spending increase in Ohio history.",Not Fake
3934,The deficit this year could pay all of the 2013 salaries of every professional baseball player for the next 248 years.,Not Fake
3935,"The city of Brookhavens ordinance could cause the Pink Pony to close, thereby putting 300 Pink Pony employees out of work in this economy.",Not Fake
3936,"The economic stimulus bill created a council that's ""modeled after the national board that controls Britains health system.""",Fake
3937,The city of Portland has won more national Constitution contests than any city in America.,Not Fake
3938,"U.S. Reps. Hank Johnson, John Lewis and other members of the Congressional Progressive Caucus are socialists who are openly serving in the U.S. Congress.",Fake
3939,"Mr. President, multiple times from your administration there have come statements that Republicans have no ideas and no solutions on health care.",Not Fake
3940,There will be no public funding for abortion in this legislation.,Not Fake
3941,"Says in Washington, D.C., Sen. Richard Burr took millions from special interests, went there and cashed in, voted to cut (his) own taxes and raise taxes on working folks.",Not Fake
3942,Says Oregon ranks 43rd in education.,Not Fake
3943,Says Virginia is the biggest state that does not have a major league sports team.,Not Fake
3944,"Not only is there no scientific evidence that CO2 is a pollutant, higher CO2 concentrations actually help ecosystems support more plant and animal life.",Fake
3945,"There are not, nor have there ever been, any boycotts encouraged by our organizations.",Fake
3946,It turns out that Texas has an $18 billion budget shortfall and cant afford its new science textbooks.,Not Fake
3947,Says our taxes have doubled with Rick Perry in office.,Fake
3948,"Mike Martinez cut a deal with prosecutors to avoid facing possible jail time and stuck us with his $24,657.50 legal bill.",Not Fake
3949,"Michelle Nunn spent most of her childhood in Perry, Ga.",Fake
3950,On whether judges should be allowed to place children with gay couples who wish to adopt.,Not Fake
3951,"In total, we have added nearly 75,000 private sector jobs in New Jersey since we took office in January 2010.",Not Fake
3952,Guantanamo detainees get taxpayer-paid-for prayer rugsthey had honey-glazed chicken and rice pilaf.,Not Fake
3953,"Mayor Barrett saved Milwaukee $25 million, thanks to Gov. Walkers reforms.",Not Fake
3954,Says about 25 Texas cities and 39 states have banned texting while driving.,Not Fake
3955,Travis County now has the highest urban county tax rate in Texas.,Not Fake
3956,Took on the Olympics and turned them around,Not Fake
3957,Says 85 percent of IDEA charter-school students come from low-income families and about 99 percent of its graduates go to college.,Not Fake
3958,Gina Raimondo paid 70 million in taxpayer dollars to millionaire hedge fund managers.,Fake
3959,"Says on the state level, we spend less today than Jon Corzine spent in fiscal year 2008, five years later.",Not Fake
3960,"For the new state budget, ""Floridians have sent us $3 billion less of their funding.""",Fake
3961,Unemployment rate dropped in every state that elected a Republican gov. in 2010,Not Fake
3962,"By any measure, New Jersey has one of the most segregated school systems in the country.",Not Fake
3963,Says Texas will be majority Hispanic in six years.,Fake
3964,The Bush tax cuts created about 8 million jobs over the first 10 years that they were in existence. Weve lost about 5 million of those jobs during this recession.,Fake
3965,They delayed my swearing-in here in Massachusetts for a couple weeks so they could ram (the health care law) through.,Fake
3966,Saudi Arabia is the only Muslim country out of 47 Muslim-majority countries where women cannot get licenses to drive.,Not Fake
3967,"If you look at the benefits and wages of recorded federal employees, they far outstrip the market rates of the private sector.",Not Fake
3968,We had a debate on whether ObamaCare was the way to go to fix up health care and the American voters said no -- emphatically.,Fake
3969,Says ending the direct payment farm subsidy program could save up to $28.4 billion over ten years that could be used to reduce the deficit.,Not Fake
3970,Rhode Island: 3% bigger at low tide.,Fake
3971,Immigrants start businesses at a faster rate; they seem to grow those businesses more successfully.,Not Fake
3972,"Says Marco Rubio said that people who essentially dont agree with him, ought to leave the country, like Keith Olbermann.",Not Fake
3973,"Our spending has caught up with us, and our debt soon will eclipse the entire size of our national economy.",Not Fake
3974,State Rep. Kathleen Peters has a 100 percent pro-abortion voting record even voting against a ban on sex-selection abortions.,Not Fake
3975,"Honduras bans citizens from owning guns and has the highest homicide rate in the entire world. Switzerland, with a similar population, requires citizens to own guns and has the lowest homicide rate in the entire world.",Fake
3976,8.5 million Americans have gotten rebate checks because their insurance companies were spending too much money on executive bonuses and administrative costs and not enough on health care.,Not Fake
3977,Texas ranks third in teen pregnancies... and it is No. 1 in repeat teen pregnancies.,Not Fake
3978,"Obamas flush with cash, returning to Wall Street for even more money. Wall Street sure supports President Obama.",Fake
3979,I spent 18 months putting together the sanctions against Iran so that we could force them to the negotiating table.,Not Fake
3980,"During the Reagan era, ""the richest Americans had their top income tax rate cut in half.""",Not Fake
3981,Sen. Obama worked on some of the deepest issues we had and was successful in a bipartisan way.,Not Fake
3982,Says Edward Snowden could have gotten all of the protections of being a whistleblower.,Fake
3983,Says Mitt Romney suggested that employers should be able to make the decision as to whether or not a woman gets contraception through her insurance coverage.,Not Fake
3984,Last year the (Medicaid Fraud Control Unit) in Virginia alone recovered over $200 million!,Fake
3985,Jack Berry voted for a plan to cut $23.8 million from our schools.,Fake
3986,"Says the Republican Party platform says pull back even more of the rules on campaign finance reform, get rid of McCain-Feingold while the Democratic Party platform says we want to find a way to put more fair rules on campaign finance reform.",Not Fake
3987,"As Washington debates cracking down on the big Wall Street banks, Ive passed legislation that does so.",Fake
3988,"In 2005 and 2007, Joe Straus received a 100 percent rating by NARAL (the National Abortion and Reproductive Rights Action League).",Fake
3989,"Before I was governor, tuition was skyrocketing and we stopped that. We capped and then we froze college tuition.",Not Fake
3990,DeKalb County has cut more money from its general fund budget than any local government in the Atlanta metro region.,Not Fake
3991,"Says Gov. Scott Walker signed abortion, sex education and discrimination bills in secret.",Fake
3992,"Rubio's tax swap proposal ""would have been a massive tax increase.""",Fake
3993,"Says the mayors job is to make sure that if somebody is trying to build a set of water treatment plants to cure us from cryptosporidium we dont have, we dont say yes even if CH2M Hill wants us to.",Fake
3994,"Eighty percent of the oil were discovering, were discovering in the deep Gulf of Mexico.",Fake
3995,We had the biggest drop of the rate of unemployment (in)all but 4 states.,Fake
3996,"In state after state, polls make clear that the American public understands the Kelo ruling is a disaster.",Not Fake
3997,Says he passed a bill to stop a military requirement that wounded soldiers pay for meals and phone calls.,Not Fake
3998,Says Rick Perry proposed a binational health insurance program with Mexico.,Not Fake
3999,"This generation, on average, is starting their careers, if theyve been to a four-year college, with just under $30,000 in debt.",Not Fake
4000,Says TriMet spends $10.3 million in police contracts a year for 56 transit police who must respond to non-transit calls,Not Fake
4001,Says a CNN anchor said that Hillary Clinton has gotten a free ride so far from the media. Were the biggest ones supporting her campaign.,Fake
